id,email,identifier,name
1,sekretariat@nfz-wroclaw.pl,01 ,Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu
2,oddzial.bydgoszcz@nfz-bydgoszcz.pl,02 ,Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy
3, info@nfz-lublin.pl,03 ,Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie
4,delegatura-gorzow@nfz-zielonagora.pl,04 ,Lubuski Oddział Narodowego Funduszu Zdrowia w Zielonej Górze
5,kancelaria@nfz-lodz.pl,05 ,Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi
6,kancelaria@nfz-krakow.pl,06 ,Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie
7,kancelaria@nfz-warszawa.pl,07 ,Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie
8,sekretariat@nfz-opole.pl,08 ,Opolski Oddział Narodowego Funduszu Zdrowia w Opolu
9,sekretariat@nfz-rzeszow.pl,09 ,Podkarpacki Oddział Narodowego Funduszu Zdrowia w Rzeszowie
10,sekretariat@nfz-bialystok.pl,10 ,Podlaski Oddział Narodowego Funduszu Zdrowia w Białymstoku
11,pow@nfz-gdansk.pl,11 ,Pomorski Oddział Narodowego Funduszu Zdrowia w Gdańsku
12, kancelaria@nfz-katowice.pl,12 ,Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach
13, biuro@nfz-kielce.pl,13 ,Świętokrzyski Oddział Narodowego Funduszu Zdrowia w Kielcach
14,info@nfz-olsztyn.pl,14 ,Warmińsko-Mazurski Oddział Narodowego Funduszu Zdrowia w Olsztynie
15,centrala@nfz-poznan.pl,15 ,Wielkopolski Oddział Narodowego Funduszu Zdrowia w Poznaniu
16,sekretariat@nfz-szczecin.pl,16 ,Zachodniopomorski Oddział Narodowego Funduszu Zdrowia w Szczecinie
