id,identifier,NAZWA,ULICA,KOD pocztowy,MIASTO,WOJEWÓDZTWO,name,,health_fund
25,686,SPZOZ Szpital Gminny,Szpitalna 16,59-920,Bogatynia,dolnośląskie,"SPZOZ Szpital Gminny, ul. Szpitalna 16, 59-920 Bogatynia",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
26,687,Zespół Opieki Zdrowotnej w Bolesławcu,Jeleniogórska 4,59-700,Bolesławiec,dolnośląskie,"Zespół Opieki Zdrowotnej w Bolesławcu, ul. Jeleniogórska 4, 59-700 Bolesławiec",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
27,690,Powiatowe Centrum Medyczne w Wołowie Sp.z o.o. Oddział Ginekologiczno-Położniczy w Brzegu Dolnym,Al. Jerozolimskie 26,56-120,Brzeg Dolny,dolnośląskie,"Powiatowe Centrum Medyczne w Wołowie Sp.z o.o. Oddział Ginekologiczno-Położniczy w Brzegu Dolnym, ul. Al. Jerozolimskie 26, 56-120 Brzeg Dolny",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
28,730,Samodzielny Publiczny Szpital Powiatowy,Cicha 1,50-200,Dzierżoniów,dolnośląskie,"Samodzielny Publiczny Szpital Powiatowy, ul. Cicha 1, 50-200 Dzierżoniów",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
29,744,Głogowski Szpital Powiatowy Sp. z o.o.,Kościuszki 15,67-200,Głogów,dolnośląskie,"Głogowski Szpital Powiatowy Sp. z o.o., ul. Kościuszki 15, 67-200 Głogów",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
30,1115,Szpital - Góra,Hirszfelda 8,56-200,Góra,dolnośląskie,"Szpital - Góra, ul. Hirszfelda 8, 56-200 Góra",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
31,777,Wojewódzkie Centrum Szpitalne Kotliny Jeleniogórskiej,Ogińskiego 6,58-506,Jelenia Góra,dolnośląskie,"Wojewódzkie Centrum Szpitalne Kotliny Jeleniogórskiej, ul. Ogińskiego 6, 58-506 Jelenia Góra",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
32,780,Powiatowe Centrum Zdrowia Sp. z o.o.,Bohaterów Getta 10,58-400,Kamienna Góra,dolnośląskie,"Powiatowe Centrum Zdrowia Sp. z o.o., ul. Bohaterów Getta 10, 58-400 Kamienna Góra",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
33,793,Zespól Opieki Zdrowotnej w Kłodzku,Szpitalna 1a,57-300,Kłodzko,dolnośląskie,"Zespól Opieki Zdrowotnej w Kłodzku, ul. Szpitalna 1a, 57-300 Kłodzko",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
34,805,Powiatowe Centrum Zdrowia Sp. z o.o.,Sanatoryjna 15,58-530,Kowary,dolnośląskie,"Powiatowe Centrum Zdrowia Sp. z o.o., ul. Sanatoryjna 15, 58-530 Kowary",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
35,830,Wojewódzki Szpital Specjalistyczny,Iwaszkiewicza 5,59-220,Legnica,dolnośląskie,"Wojewódzki Szpital Specjalistyczny, ul. Iwaszkiewicza 5, 59-220 Legnica",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
36,847,NZOZ Łużyckie Centrum Medyczne w Lubaniu Sp. z o.o.,Zawidowska 4,59-800,Lubań,dolnośląskie,"NZOZ Łużyckie Centrum Medyczne w Lubaniu Sp. z o.o., ul. Zawidowska 4, 59-800 Lubań",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
37,849,Regionalne Centrum Zdrowia Sp. z o.o.,J. Bema 5-6,59-300,Lubin,dolnośląskie,"Regionalne Centrum Zdrowia Sp. z o.o., ul. J. Bema 5-6, 59-300 Lubin",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
38,865,Milickie Centrum Medyczne sp. z o.o.,Grzybowa 1,56-300,Milicz,dolnośląskie,"Milickie Centrum Medyczne sp. z o.o., ul. Grzybowa 1, 56-300 Milicz",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
39,895,Powiatowy Zespół Szpitali,Armii Krajowej 1,56-400,Oleśnica,dolnośląskie,"Powiatowy Zespół Szpitali, ul. Armii Krajowej 1, 56-400 Oleśnica",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
40,893,Zespół Opieki Zdrowotnej w Oławie,Kamila Baczyńskiego 1,55-200,Oława,dolnośląskie,"Zespół Opieki Zdrowotnej w Oławie, ul. Kamila Baczyńskiego 1, 55-200 Oława",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
41,1122,PZOZ Specjalistyczne Centrum Medyczne,Jana Pawła II 2,57-320,Polanica-Zdrój,dolnośląskie,"PZOZ Specjalistyczne Centrum Medyczne, ul. Jana Pawła II 2, 57-320 Polanica-Zdrój",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
42,997,Strzelińskie Centrum Medyczne,Wrocławska 46,57-100,Strzelin,dolnośląskie,"Strzelińskie Centrum Medyczne, ul. Wrocławska 46, 57-100 Strzelin",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
43,989,Szpital Specjalistyczny - Środa Śląska,Kolejowa 16A,55-300,Środa Śląska,dolnośląskie,"Szpital Specjalistyczny - Środa Śląska, ul. Kolejowa 16A, 55-300 Środa Śląska",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
44,1004,"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Świdnicy. Regionalny Szpital Specjalistyczny ""Latawiec""",Leśna 27-29,58-100,Świdnica,dolnośląskie,"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Świdnicy. Regionalny Szpital Specjalistyczny ""Latawiec"", ul. Leśna 27-29, 58-100 Świdnica",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
45,1006,"Mikulicz Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej ""Mikulicz""",Marii Skłodowskiej-Curie 3-7,58-160,Świebodzice,dolnośląskie,"Mikulicz Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej ""Mikulicz"", ul. Marii Skłodowskiej-Curie 3-7, 58-160 Świebodzice",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
46,1035,Szpital im. Św. Jadwigi Śląskiej,Prusicka 53/55,55-100,Trzebnica,dolnośląskie,"Szpital im. Św. Jadwigi Śląskiej, ul. Prusicka 53/55, 55-100 Trzebnica",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
47,1045,Specjalistyczny Szpital Ginekologiczno-Położniczy im. E. Biernackiego,Paderewskiego 10,58-301,Wałbrzych,dolnośląskie,"Specjalistyczny Szpital Ginekologiczno-Położniczy im. E. Biernackiego, ul. Paderewskiego 10, 58-301 Wałbrzych",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
48,1137,Uniwersytecki Szpital Kliniczny. Klinika Ginekologii i Połoznictwa,Borowska 213,50-556,Wrocław,dolnośląskie,"Uniwersytecki Szpital Kliniczny. Klinika Ginekologii i Połoznictwa, ul. Borowska 213, 50-556 Wrocław",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
49,1075,Samodzielny Publiczny Szpital Kliniczny,Tytusa Chałubińskiego 3,50-368,Wrocław,dolnośląskie,"Samodzielny Publiczny Szpital Kliniczny, ul. Tytusa Chałubińskiego 3, 50-368 Wrocław",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
50,1077,Szpital Specjalistyczny im. A. Falkiewicza,Warszawska 2,52-114,Wrocław,dolnośląskie,"Szpital Specjalistyczny im. A. Falkiewicza, ul. Warszawska 2, 52-114 Wrocław",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
51,1078,Wojewódzki Szpital Specjalistyczny,Kamieńskiego 73a,51-124,Wrocław,dolnośląskie,"Wojewódzki Szpital Specjalistyczny, ul. Kamieńskiego 73a, 51-124 Wrocław",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
52,1151,Centrum Zdrowia Medfemina,Borowska 262,50-558,Wrocław,dolnośląskie,"Centrum Zdrowia Medfemina, ul. Borowska 262, 50-558 Wrocław",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
53,1086,EMC Instytut Medyczny S.A. Szpital Św. Antoniego,Chrobrego 5,57-200,Ząbkowice Śląskie,dolnośląskie,"EMC Instytut Medyczny S.A. Szpital Św. Antoniego, ul. Chrobrego 5, 57-200 Ząbkowice Śląskie",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
54,1145,"Szpital Miejski w Zabrzu Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej, Centrum Zadrowia kobiety i Dziecka im. prof.. Wojciecha Starzewskiego",Zamkowa 4,41-803,Zabrze,dolnośląskie,"Szpital Miejski w Zabrzu Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej, Centrum Zadrowia kobiety i Dziecka im. prof.. Wojciecha Starzewskiego, ul. Zamkowa 4, 41-803 Zabrze",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
55,1098,Wielospecjalistyczny Szpital Samodzielny Publiczny Zespół Opieki Zdrowotnej w Zgorzelcu,Lubańska 11-12,59-900,Zgorzelec,dolnośląskie,"Wielospecjalistyczny Szpital Samodzielny Publiczny Zespół Opieki Zdrowotnej w Zgorzelcu, ul. Lubańska 11-12, 59-900 Zgorzelec",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
56,1100,Zespół Opieki Zdrowotnej. Szpital Powiatowy im. A. Wolańczyka,Hoża 11,59-500,Złotoryja,dolnośląskie,"Zespół Opieki Zdrowotnej. Szpital Powiatowy im. A. Wolańczyka, ul. Hoża 11, 59-500 Złotoryja",Dolnośląski Oddział Narodowego Funduszu Zdrowia we Wrocławiu,1
